XYDATA SparksLave Co3O4-quenched_800_300K 
INTER        1       1       0     0.100000
TEMP       298.338      300.007      300.000
! d1b Date 16-Nov-11 Time 08:17:22 Run 130118 130107>130118
! d1b Date 16-Nov-11 Time 08:17:22 Run 130118 130107>130118
! Monitor/counts, Counting time/sec:  1.07182e+007 1.07182e+007
   0.7900             5.000       1.000
   0.8900             4.000       1.000
   0.9900          1889.000      11.916
   1.0900          1751.000      11.832
   1.1900          1821.000      13.153
   1.2900          1797.000      12.042
   1.3900          1741.000      12.923
   1.4900          1815.000      12.083
   1.5900          1913.000      12.000
   1.6900          1949.000      13.229
   1.7900          2520.000      14.353
   1.8900          3929.000      18.193
   1.9900          6492.000      22.561
   2.0900          8768.000      26.739
   2.1900         11084.000      29.223
   2.2900         14082.000      33.571
   2.3900         17478.000      38.393
   2.4900         21667.000      41.437
   2.5900         25156.000      44.788
   2.6900         28912.000      48.042
   2.7900         32162.000      51.332
   2.8900         34635.000      52.507
   2.9900         37470.000      54.909
   3.0900         40421.000      56.815
   3.1900         43416.000      60.083
   3.2900         44978.000      60.597
   3.3900         45535.000      61.294
   3.4900         44344.000      60.564
   3.5900         43981.000      59.775
   3.6900         43348.000      59.708
   3.7900         42933.000      59.059
   3.8900         42094.000      58.164
   3.9900         42538.000      59.758
   4.0900         42332.000      59.464
   4.1900         42339.000      59.464
   4.2900         42713.000      59.925
   4.3900         42649.000      59.051
   4.4900         43439.000      60.058
   4.5900         44731.000      60.498
   4.6900         46535.000      62.274
   4.7900         47491.000      62.466
   4.8900         49288.000      63.679
   4.9900         50241.000      64.452
   5.0900         52020.000      65.574
   5.1900         53769.000      66.791
   5.2900         55167.000      68.345
   5.3900         56866.000      68.469
   5.4900         57557.000      69.275
   5.5900         59725.000      70.824
   5.6900         60908.000      70.986
   5.7900         61789.000      71.526
   5.8900         64299.000      73.048
   5.9900         64814.000      73.321
   6.0900         65972.000      73.865
   6.1900         65927.000      74.095
   6.2900         65831.000      74.579
   6.3900         65913.000      74.223
   6.4900         66071.000      74.552
   6.5900         65602.000      74.900
   6.6900         64496.000      73.383
   6.7900         64885.000      73.743
   6.8900         64041.000      73.573
   6.9900         63513.000      73.151
   7.0900         62930.000      72.312
   7.1900         62242.000      71.896
   7.2900         62077.000      71.379
   7.3900         61562.000      71.910
   7.4900         60524.000      70.689
   7.5900         60315.000      70.838
   7.6900         58665.000      70.732
   7.7900         58247.000      70.050
   7.8900         56929.000      69.051
   7.9900         56678.000      69.318
   8.0900         55882.000      68.600
