11.09	83990	83.774		0.340455373		11.09	0.133566898
11.19	82646	83.114		0.335007438		11.19	0.133960739
11.29	82973	82.207		0.33633294		11.29	0.133005247
11.39	81692	82.644		0.331140378		11.39	0.132625104
11.49	81284	82.48		0.32948654		11.49	0.132744969
11.59	81606	82.323		0.330791775		11.59	0.133467582
11.69	81711	83.084		0.331217394		11.69	0.134803216
11.79	81031	81.413		0.328460999		11.79	0.133984712
11.89	80173	82.085		0.324983077		11.89	0.134077179
11.99	80280	82.377		0.325416803		11.99	0.133799778
12.09	80538	81.799		0.326462612		12.09	0.13337169
12.19	79961	81.639		0.32412373		12.19	0.132255236
12.29	80664	82.207		0.326973356		12.29	0.133077165
12.39	79991	81.382		0.324245335		12.39	0.13140591
12.49	80221	82.462		0.325177646		12.49	0.13128262
12.59	80199	81.719		0.325088468		12.59	0.132275785
12.69	79544	81.835		0.322433411		12.69	0.131518925
12.79	79357	80.994		0.321675402		12.79	0.132179893
12.89	80263	81.915		0.325347894		12.89	0.132378526
12.99	79527	81.872		0.322364501		12.99	0.132313456
13.09	79122	81.554		0.320722824		13.09	0.130638776
13.19	79644	81.049		0.322838763		13.19	0.131703859
13.29	79334	81.148		0.321582171		13.29	0.131306593
13.39	79474	81.799		0.322149664		13.39	0.132751819
13.49	78708	80.623		0.319044666		13.49	0.131409334
13.59	79257	80.678		0.32127005		13.59	0.132142221
13.69	79241	80.889		0.321205193		13.69	0.130857957
13.79	78872	81.37		0.319709443		13.79	0.131772353
13.89	79019	80.523		0.320305311		13.89	0.131203852
13.99	79300	80.604		0.321444351		13.99	0.132005233
14.09	79447	81.031		0.322040219		14.09	0.131433307
14.19	78974	80.306		0.320122903		14.19	0.132042905
14.29	79294	82.091		0.32142003		14.29	0.13104974
14.39	78691	81.049		0.318975756		14.39	0.13145728
14.49	79413	81.554		0.321902399		14.49	0.131710708
14.59	78950	80.511		0.320025618		14.59	0.131977835
14.69	78704	80.808		0.319028452		14.69	0.131512076
14.79	79092	81.062		0.320601218		14.79	0.131467554
14.89	79197	80.187		0.321026838		14.89	0.131392211
14.99	78818	80.15		0.319490553		14.99	0.130587405
15.09	78871	80.38		0.31970539		15.09	0.132488116
15.19	79938	81.48		0.324030499		15.19	0.132669626
15.29	80485	82.553		0.326247776		15.29	0.138282716
15.39	81337	82.395		0.329701377		15.39	0.144005397
15.49	80817	82.347		0.327593545		15.49	0.145882135
15.59	79990	81.799		0.324241282		15.59	0.141176591
15.69	79543	81.166		0.322429357		15.69	0.137940246
15.79	78709	81.049		0.319048719		15.79	0.133457308
15.89	78533	79.869		0.318335299		15.89	0.132488116
15.99	78283	80.237		0.317321919		15.99	0.133104563
16.09	78234	80.623		0.317123296		16.09	0.132693599
16.19	78278	80.951		0.317301651		16.19	0.132590857
16.29	77684	80.056		0.314893859		16.29	0.132320306
16.39	78273	80.449		0.317281383		16.39	0.132813463
16.49	78301	79.612		0.317394882		16.49	0.131960712
16.59	77327	80.728		0.313446751		16.59	0.131673037
16.69	78068	81.093		0.316450411		16.69	0.133344292
16.79	76984	80.237		0.312056393		16.79	0.132084001
16.89	77909	80.318		0.315805901		16.89	0.131970986
16.99	78015	80.678		0.316235575		16.99	0.132275785
17.09	77794	79.762		0.315339746		17.09	0.131765504
17.19	78489	81.216		0.318156944		17.19	0.132522363
17.29	77895	80.864		0.315749152		17.29	0.131847697
